port_id,port_type,port_name,qualified_port_name,port_annotation_id,data_id
38,out,final_result,clean_name_and_date_workflow.validate_scientificName_field_of_data.find_matching_local_authority_source_record->final_result,87,23
39,out,matching_method,clean_name_and_date_workflow.validate_scientificName_field_of_data.find_matching_local_authority_source_record->matching_method,88,29
40,out,name_val_log,clean_name_and_date_workflow.validate_scientificName_field_of_data.find_matching_local_authority_source_record->name_val_log,89,11
41,param,RecordID,clean_name_and_date_workflow.validate_scientificName_field_of_data.log_rejected_unmatching_record<-RecordID,95,17
42,in,original_scientificName,clean_name_and_date_workflow.validate_scientificName_field_of_data.log_rejected_unmatching_record<-original_scientificName,96,22
43,in,matching_local_authority_source_record,clean_name_and_date_workflow.validate_scientificName_field_of_data.log_rejected_unmatching_record<-matching_local_authority_source_record,98,28
44,out,rejected_record_count,clean_name_and_date_workflow.validate_scientificName_field_of_data.log_rejected_unmatching_record->rejected_record_count,100,24
45,out,name_val_log,clean_name_and_date_workflow.validate_scientificName_field_of_data.log_rejected_unmatching_record->name_val_log,101,11
46,in,original_scientificName,clean_name_and_date_workflow.validate_scientificName_field_of_data.update_scientificName<-original_scientificName,106,22
47,param,matching_local_authority_source_record,clean_name_and_date_workflow.validate_scientificName_field_of_data.update_scientificName<-matching_local_authority_source_record,108,27
48,out,updated_scientificName,clean_name_and_date_workflow.validate_scientificName_field_of_data.update_scientificName->updated_scientificName,110,30
49,param,matching_local_authority_source_record,clean_name_and_date_workflow.validate_scientificName_field_of_data.update_authorship<-matching_local_authority_source_record,113,27
50,in,original_authorship,clean_name_and_date_workflow.validate_scientificName_field_of_data.update_authorship<-original_authorship,115,16
51,out,updated_authorship,clean_name_and_date_workflow.validate_scientificName_field_of_data.update_authorship->updated_authorship,117,31
52,in,updated_scientificName,clean_name_and_date_workflow.validate_scientificName_field_of_data.log_updated_record<-updated_scientificName,120,30
53,in,updated_authorship,clean_name_and_date_workflow.validate_scientificName_field_of_data.log_updated_record<-updated_authorship,121,31
54,in,original_authorship,clean_name_and_date_workflow.validate_scientificName_field_of_data.log_updated_record<-original_authorship,122,16
55,in,original_scientificName,clean_name_and_date_workflow.validate_scientificName_field_of_data.log_updated_record<-original_scientificName,124,22
56,out,name_val_log,clean_name_and_date_workflow.validate_scientificName_field_of_data.log_updated_record->name_val_log,126,11
57,param,RecordID,clean_name_and_date_workflow.validate_scientificName_field_of_data.log_accepted_record<-RecordID,131,17
58,in,final_result,clean_name_and_date_workflow.validate_scientificName_field_of_data.log_accepted_record<-final_result,132,23
59,param,original_scientificName,clean_name_and_date_workflow.validate_scientificName_field_of_data.log_accepted_record<-original_scientificName,133,22
60,out,accepted_record_count,clean_name_and_date_workflow.validate_scientificName_field_of_data.log_accepted_record->accepted_record_count,135,32
61,out,name_val_log,clean_name_and_date_workflow.validate_scientificName_field_of_data.log_accepted_record->name_val_log,136,11
62,in,original_others,clean_name_and_date_workflow.validate_scientificName_field_of_data.write_output1_data<-original_others,141,18
63,in,original_scientificName,clean_name_and_date_workflow.validate_scientificName_field_of_data.write_output1_data<-original_scientificName,143,21
64,in,original_scientificName,clean_name_and_date_workflow.validate_scientificName_field_of_data.write_output1_data<-original_scientificName,145,22
65,in,original_authorship,clean_name_and_date_workflow.validate_scientificName_field_of_data.write_output1_data<-original_authorship,147,16
66,in,updated_scientificName,clean_name_and_date_workflow.validate_scientificName_field_of_data.write_output1_data<-updated_scientificName,149,30
67,in,updated_authorship,clean_name_and_date_workflow.validate_scientificName_field_of_data.write_output1_data<-updated_authorship,150,31
68,out,output1_data,clean_name_and_date_workflow.validate_scientificName_field_of_data.write_output1_data->output1_data,151,33
69,in,accepted_record_count,clean_name_and_date_workflow.validate_scientificName_field_of_data.log_summary<-accepted_record_count,155,32
70,in,rejected_record_count,clean_name_and_date_workflow.validate_scientificName_field_of_data.log_summary<-rejected_record_count,156,24
71,out,name_val_log,clean_name_and_date_workflow.validate_scientificName_field_of_data.log_summary->name_val_log,157,11
72,in,output1_data,clean_name_and_date_workflow.validate_eventDate_field_of_data<-output1_data,164,8
73,param,record_id_data,clean_name_and_date_workflow.validate_eventDate_field_of_data<-record_id_data,166,10
74,out,output2_data,clean_name_and_date_workflow.validate_eventDate_field_of_data->output2_data,168,34
75,out,date_val_log,clean_name_and_date_workflow.validate_eventDate_field_of_data->date_val_log,170,35
76,out,date_val_log,clean_name_and_date_workflow.validate_eventDate_field_of_data.initialize_run->date_val_log,173,36
77,in,input2_data,clean_name_and_date_workflow.validate_eventDate_field_of_data.read_input2_data_records<-input2_data,178,37
78,in,record_id_data,clean_name_and_date_workflow.validate_eventDate_field_of_data.read_input2_data_records<-record_id_data,180,38
79,out,original2_eventDate,clean_name_and_date_workflow.validate_eventDate_field_of_data.read_input2_data_records->original2_eventDate,182,39
80,out,RecordID,clean_name_and_date_workflow.validate_eventDate_field_of_data.read_input2_data_records->RecordID,184,40
81,out,original2_others,clean_name_and_date_workflow.validate_eventDate_field_of_data.read_input2_data_records->original2_others,185,41
82,out,date_val_log,clean_name_and_date_workflow.validate_eventDate_field_of_data.read_input2_data_records->date_val_log,187,36
83,in,original2_eventDate,clean_name_and_date_workflow.validate_eventDate_field_of_data.check_empty_value<-original2_eventDate,192,39
84,out,check_result,clean_name_and_date_workflow.validate_eventDate_field_of_data.check_empty_value->check_result,194,42
85,out,original2_eventDate,clean_name_and_date_workflow.validate_eventDate_field_of_data.check_empty_value->original2_eventDate,195,43
86,out,original2_eventDate,clean_name_and_date_workflow.validate_eventDate_field_of_data.check_empty_value->original2_eventDate,197,44
87,out,date_val_log,clean_name_and_date_workflow.validate_eventDate_field_of_data.check_empty_value->date_val_log,199,36
88,param,RecordID,clean_name_and_date_workflow.validate_eventDate_field_of_data.log_rejected_record<-RecordID,205,40
89,in,original2_eventDate,clean_name_and_date_workflow.validate_eventDate_field_of_data.log_rejected_record<-original2_eventDate,206,43
90,in,check_result,clean_name_and_date_workflow.validate_eventDate_field_of_data.log_rejected_record<-check_result,208,42
91,out,final_result,clean_name_and_date_workflow.validate_eventDate_field_of_data.log_rejected_record->final_result,209,45
92,out,rejected2_record_count,clean_name_and_date_workflow.validate_eventDate_field_of_data.log_rejected_record->rejected2_record_count,210,46
93,out,date_val_log,clean_name_and_date_workflow.validate_eventDate_field_of_data.log_rejected_record->date_val_log,212,36
94,in,original2_eventDate,clean_name_and_date_workflow.validate_eventDate_field_of_data.check_ISO_compliant<-original2_eventDate,217,44
95,out,match_result,clean_name_and_date_workflow.validate_eventDate_field_of_data.check_ISO_compliant->match_result,219,47
96,out,original2_eventDate,clean_name_and_date_workflow.validate_eventDate_field_of_data.check_ISO_compliant->original2_eventDate,220,48
97,out,original2_eventDate,clean_name_and_date_workflow.validate_eventDate_field_of_data.check_ISO_compliant->original2_eventDate,222,49
98,out,date_val_log,clean_name_and_date_workflow.validate_eventDate_field_of_data.check_ISO_compliant->date_val_log,224,36
99,in,original2_eventDate,clean_name_and_date_workflow.validate_eventDate_field_of_data.update_eventDate<-original2_eventDate,229,49
100,in,match_result,clean_name_and_date_workflow.validate_eventDate_field_of_data.update_eventDate<-match_result,231,47
101,out,updated2_eventDate,clean_name_and_date_workflow.validate_eventDate_field_of_data.update_eventDate->updated2_eventDate,232,50
102,out,date_val_log,clean_name_and_date_workflow.validate_eventDate_field_of_data.update_eventDate->date_val_log,234,36
103,param,RecordID,clean_name_and_date_workflow.validate_eventDate_field_of_data.log_accepted_record<-RecordID,239,40
104,in,updated2_eventDate,clean_name_and_date_workflow.validate_eventDate_field_of_data.log_accepted_record<-updated2_eventDate,240,50
105,in,original2_eventDate,clean_name_and_date_workflow.validate_eventDate_field_of_data.log_accepted_record<-original2_eventDate,242,48
106,out,final_result,clean_name_and_date_workflow.validate_eventDate_field_of_data.log_accepted_record->final_result,244,45
107,out,accepted2_record_count,clean_name_and_date_workflow.validate_eventDate_field_of_data.log_accepted_record->accepted2_record_count,245,51
108,out,date_val_log,clean_name_and_date_workflow.validate_eventDate_field_of_data.log_accepted_record->date_val_log,247,36
109,in,original2_others,clean_name_and_date_workflow.validate_eventDate_field_of_data.write_output2_data<-original2_others,252,41
110,in,updated2_eventDate,clean_name_and_date_workflow.validate_eventDate_field_of_data.write_output2_data<-updated2_eventDate,254,50
111,in,original2_eventDate,clean_name_and_date_workflow.validate_eventDate_field_of_data.write_output2_data<-original2_eventDate,256,48
112,in,original2_eventDate,clean_name_and_date_workflow.validate_eventDate_field_of_data.write_output2_data<-original2_eventDate,258,43
113,out,output2_data,clean_name_and_date_workflow.validate_eventDate_field_of_data.write_output2_data->output2_data,260,52
114,in,accepted2_record_count,clean_name_and_date_workflow.validate_eventDate_field_of_data.log_summary<-accepted2_record_count,264,51
115,in,rejected2_record_count,clean_name_and_date_workflow.validate_eventDate_field_of_data.log_summary<-rejected2_record_count,266,46
116,out,date_val_log,clean_name_and_date_workflow.validate_eventDate_field_of_data.log_summary->date_val_log,268,36
117,param,lst,exactmatch<-lst,276,53
118,param,label_str,exactmatch<-label_str,277,54
121,param,str1,fuzzymatch<-str1,282,57
122,param,str2,fuzzymatch<-str2,283,58
124,param,lst,fieldmatch<-lst,287,53
125,param,str2,fieldmatch<-str2,288,58
127,param,message,timestamp<-message,293,61
